address_id,canonical_address,city,pincode,is_drop_address,first_seen_at
ADDR000000,"43/321, Chahal Circle, Patna 133890",Ahmedabad,836928,False,2026-01-18 09:05:29
ADDR000001,"794, Dutta Nagar, Mau-235116",Jaipur,120520,False,2026-02-21 18:18:11
ADDR000002,"H.No. 94, Sharaf Nagar, Burhanpur 849593",Kolkata,768801,False,2026-02-18 16:51:50
ADDR000003,"34/131, Mall Marg, Bharatpur 553419",Bengaluru,505485,False,2026-02-20 15:50:22
ADDR000004,"764, Kanda Circle, Pimpri-Chinchwad-056413",Delhi,840217,False,2026-01-17 23:55:27
ADDR000005,"76/724, Koshy Street, Bhimavaram 965328",Ahmedabad,558989,False,2026-02-10 12:04:26
ADDR000006,"H.No. 122, Bhatt Marg, Eluru-848018",Vapi,414079,False,2026-01-11 03:12:09
ADDR000007,"H.No. 462, Aggarwal Chowk, Orai 814893",Pune,650934,False,2026-02-14 06:37:35
ADDR000008,"880, Naik, Surat-543039",Lucknow,405964,False,2026-02-25 05:26:36
ADDR000009,"71/822, Gandhi Chowk, Dehri 383465",Mumbai,205033,False,2026-01-02 11:04:29
ADDR000010,"H.No. 331, Bail Path, Giridih-010310",Surat,262107,False,2026-02-05 11:40:41
ADDR000011,"34/73, Deo Circle, Latur 631165",Lucknow,790030,False,2026-02-25 23:33:49
ADDR000012,"01, Rau Nagar, Moradabad-338726",Mumbai,466366,False,2026-01-30 20:42:21
ADDR000013,"31, Chaudhari Chowk, Panvel-132677",Jaipur,660366,False,2026-02-03 00:53:20
ADDR000014,"H.No. 260, Lanka Marg, Baranagar-872343",Chennai,195827,False,2026-01-26 11:13:00
ADDR000015,"50/097, Wali Circle, Howrah 219136",Chennai,598867,False,2026-02-17 00:43:53
ADDR000016,"90/91, Virk Marg, Bhilwara 534624",Ahmedabad,624738,False,2026-01-03 11:16:33
ADDR000017,"H.No. 079, Chaudhry, Siwan-842513",Kolkata,495533,False,2026-01-08 07:09:19
ADDR000018,"784, Wadhwa, Begusarai 124118",Bengaluru,802668,False,2026-02-24 02:02:25
ADDR000019,"H.No. 93, Jani Path, Dibrugarh-401640",Ahmedabad,978921,False,2026-01-11 14:56:05
ADDR000020,"427, Sane Circle, Gorakhpur 280598",Chennai,937058,False,2026-01-11 08:03:45
ADDR000021,"045, Parmar Nagar, Kulti-586923",Kolkata,297553,False,2026-01-20 12:56:51
ADDR000022,"02, Sabharwal Path, Shimoga-160733",Pune,423988,False,2026-02-21 14:18:00
ADDR000023,"H.No. 33, Hans Nagar, Ozhukarai-145868",Surat,550032,False,2026-01-31 23:42:27
ADDR000024,"H.No. 429, Barad Road, Kavali 556981",Mumbai,310782,False,2026-01-03 08:28:40
ADDR000025,"H.No. 06, Venkatesh Nagar, Bharatpur-159514",Vapi,304651,False,2026-01-21 02:20:17
ADDR000026,"H.No. 64, Datta Circle, Bidar 299468",Vapi,741960,False,2026-02-06 16:00:59
