instrument_id,instrument_type,bin_or_vpa_hash,first_seen_at
PI000000,card,56eea9556af14704,2026-01-19 08:00:00
PI000001,upi,063bf4226dedad0c,2026-01-14 10:00:00
PI000002,card,5f4f61086ae7dca2,2026-01-31 22:00:00
PI000003,upi,a560d3f7d7dba2c7,2026-02-09 05:00:00
PI000004,upi,8a75091a31485513,2026-02-14 17:00:00
PI000005,upi,0337f26d4d236d75,2026-02-12 21:00:00
PI000006,upi,a6e1e63318ef5eb9,2026-01-01 18:00:00
PI000007,upi,2f859dfad9278f54,2026-02-08 07:00:00
PI000008,card,b16be706ba144b9e,2026-01-25 17:00:00
PI000009,card,625e26fb7eda0781,2026-02-02 23:00:00
PI000010,upi,ab131592e94415fb,2026-01-12 14:00:00
PI000011,upi,b7cc0855dae77c88,2026-01-04 10:00:00
PI000012,card,9685a0f4b849d1c6,2026-02-03 20:00:00
PI000013,upi,6f479e119edb5549,2026-01-12 18:00:00
PI000014,upi,41a1fab4c7d7f0fe,2026-02-14 19:00:00
PI000015,card,a47e88c6276e4222,2026-01-21 20:00:00
PI000016,upi,b21450f881f65ad7,2026-02-07 10:00:00
PI000017,upi,389e9621ac7ce650,2026-01-09 23:00:00
PI000018,netbanking,624dcbeaac486ddc,2026-01-07 14:00:00
PI000019,upi,6d84463fdfa01819,2026-01-20 02:00:00
PI000020,upi,536f1005c261a5cd,2026-01-28 11:00:00
PI000021,wallet,a262dbfc2fb68197,2026-01-25 15:00:00
PI000022,card,6de009d71807d496,2026-01-13 21:00:00
PI000023,upi,3b50f285db5bc57c,2026-02-02 12:00:00
PI000024,card,6fe6d3851814bc32,2026-01-13 19:00:00
PI000025,card,b4ce4fdc9ce2f6a7,2026-01-02 13:00:00
PI000026,netbanking,fba1cdc5d878a99f,2026-01-31 17:00:00
PI000027,upi,ed9aecf445b73b6e,2026-01-30 20:00:00
PI000028,card,211d405d2cfd1060,2026-01-02 06:00:00
PI000029,card,746956ff38e86f6a,2026-02-12 01:00:00
PI000030,card,e9695a4ef51ce352,2026-02-06 02:00:00
PI000031,card,6e662c309625e1e9,2026-01-12 05:00:00
PI000032,upi,2e010637093da580,2026-01-08 17:00:00
PI000033,netbanking,ab46631832f597be,2026-01-09 05:00:00
PI000034,upi,e8a7e9e94a827ed9,2026-02-09 07:00:00
PI000035,netbanking,1d59f607a265a35c,2026-02-03 05:00:00
PI000036,card,9b419febb02243dd,2026-01-30 10:00:00
PI000037,upi,e429c62e7200117b,2026-02-04 03:00:00
PI000038,card,37e9c2985e670cef,2026-02-14 03:00:00
PI000039,upi,e0c39f0bda1efb00,2026-01-29 07:00:00
PI000040,card,4d9779055f5a007c,2026-01-30 18:00:00
PI000041,netbanking,e42b65f7b7843edf,2026-02-05 10:00:00
PI000042,upi,f239f3440832b57b,2026-01-26 12:00:00
PI000043,wallet,ec5cd27b29c1ad8d,2026-01-28 05:00:00
PI000044,card,269a8264d02dcf05,2026-01-27 06:00:00
PI000045,upi,8badb72dd07c25d6,2026-01-22 11:00:00
PI000046,card,cafc37224f3ec0e2,2026-01-13 15:00:00
PI000047,upi,f959eb1672fb2256,2026-01-22 04:00:00
PI000048,netbanking,5c54c51b00ca2670,2026-01-10 19:00:00
PI000049,card,e3190d4274bc6ca1,2026-02-09 07:00:00
PI000050,upi,6a0b3ea07d6f10e6,2026-02-08 05:00:00
PI000051,upi,dc3c49e95fb6f6bf,2026-02-13 10:00:00
PI000052,upi,1d2e9219762f9244,2026-01-18 21:00:00
PI000053,card,32e5c5180366b1bd,2026-01-29 02:00:00
PI000054,card,c29e8bce9c7cf37e,2026-01-05 10:00:00
PI000055,card,b16eaa0d850b8e49,2026-01-17 18:00:00
PI000056,card,584ec57ee742e1b7,2026-02-05 23:00:00
PI000057,card,a134ca482d389fcd,2026-01-29 17:00:00
PI000058,netbanking,c6057f745bcf5cef,2026-01-25 17:00:00
PI000059,card,f3017ce76baf0d8d,2026-01-15 09:00:00
PI000060,card,87d233818e1808de,2026-01-17 12:00:00
PI000061,card,3c0e6d0c34d96176,2026-02-14 08:00:00
PI000062,upi,52799bde44cdcb48,2026-02-08 04:00:00
PI000063,card,b0a7f29e655a2b81,2026-01-28 15:00:00
PI000064,upi,f816864727027421,2026-02-13 20:00:00
PI000065,card,07e0526871bdb65e,2026-01-03 18:00:00
PI000066,upi,751df581ec9bd6e1,2026-01-24 10:00:00
PI000067,upi,ce76ec99d31caae8,2026-02-11 08:00:00
PI000068,card,bc1bc8d8f3074886,2026-01-04 22:00:00
PI000069,card,3fe615ac20dbae34,2026-02-05 09:00:00
PI000070,upi,9aa4412b02da2907,2026-01-15 01:00:00
PI000071,card,353eadb14045dc30,2026-01-02 04:00:00
PI000072,upi,17fb9215eefe106a,2026-01-24 11:00:00
PI000073,card,6db9e2a25f05250c,2026-02-07 18:00:00
PI000074,upi,cf7e589aea446104,2026-01-16 05:00:00
PI000075,upi,6e9c4a23328eacee,2026-01-10 01:00:00
PI000076,upi,cf3da162d1affa5e,2026-01-18 21:00:00
PI000077,card,f3341ceb92d276da,2026-01-24 16:00:00
PI000078,upi,de7956d7254de21f,2026-01-27 02:00:00
PI000079,card,1d31643fe747d4aa,2026-01-16 01:00:00
PI000080,card,3946ae1d47b90801,2026-01-29 07:00:00
PI000081,card,ca479052a4dad052,2026-01-02 11:00:00
PI000082,netbanking,1bdb9a28ba7723ff,2026-01-08 12:00:00
PI000083,upi,972dbcf4728a93f1,2026-01-09 22:00:00
PI000084,upi,398e81ba068b2ec0,2026-01-28 07:00:00
PI000085,wallet,909377a6f37d3b0e,2026-02-04 15:00:00
